Dataset_Short,Naive,Theta,Simple Exponential Smoothing,AutoARIMA,DeepAR,NBEATS,NHITS,DLinear,NLinear,VanillaTransformer,TiDE,KAN
BHC Cash Liquidity,0.0244966179273077,0.0237558467038101,0.023513258214861,0.0244023039577207,0.030570437568709,0.0236913642385685,0.0239125446845781,0.0313322441530929,0.0258102099365437,0.024220051846172,0.0283469232691019,0.0241188771387884
BHC Leverage,0.7023192614010894,0.7391339465376076,0.7009660867462878,0.7488175137255412,1.6105949577608938,0.6744456930422564,0.6791363371235776,1.0054452913587637,0.7777758579005343,0.6603754548076256,0.7585767014900777,0.7128105322387593
Bank Cash Liquidity,0.0320306838131081,0.0314083858118462,0.0306033355545441,0.0328843204409333,0.0393099346605675,0.0310182061214996,0.030902135192285,0.0385358781644509,0.0340821746281962,0.0308901442748855,0.0359085014981661,0.032260028750154
Bank Leverage,0.6994503705929487,0.6971542830597922,0.6956288682581786,0.7939801958996463,3.128205473585323,0.6708075593363174,0.6651218674016357,1.129141712947613,0.8145821245026525,0.6972435638400751,0.955860756520778,0.7238541580321618
CDS Contract Returns,0.0025346900129916,0.0024956337577628,0.0024833681693136,0.0036114663758537,0.0113935819729601,0.0026859870515607,0.0025836104628431,0.0034171417667277,0.0031261002668276,0.0026595225892805,0.0037008980328069,0.0026007898183048
CDS Portfolio Returns,0.0008775118621997,0.0005127828917466,0.0004765482153743,0.000474299682537,0.0004522209055721,0.0004612288903445,0.0004540854715742,0.0004532324674073,0.0005969490739516,0.0004568982985801,0.0004528074641712,0.0004680472775362
CDS-Bond Basis,1.4982645800159236,1.645152875572253,1.5270345894394406,1.8290045671402269,6.585195747910032,1.4994710934389928,1.5162810307399484,2.6824684871989453,1.6839661810808122,1.997533713176752,2.322656910890227,1.7913103042894107
CIP Spreads,12.249648094177246,11.860261917114258,11.861964225769045,10.733962059020996,23.980541229248047,22.84040069580078,18.526731491088867,17.101591110229492,16.569917678833008,19.54964637756348,17.760005950927734,46.463260650634766
CRSP Stock Returns,0.2369998642320286,0.236381983993077,0.2339375310211685,0.2245350954162799,0.2140515771242651,0.2233226763533287,0.2299259047303656,0.2216755076996957,0.1941512457214959,0.1918760998414294,0.2007689145531984,0.196890638999813
CRSP Stock Returns (ex-div),0.2369552209432369,0.2363053123549659,0.2338510645498143,0.224477484674737,0.2128458306340888,0.2267789179735844,0.2342827925981074,0.2201020898598649,0.1934544402774017,0.1914913441875193,0.1971957770117832,0.1976307028591042
Commodity Returns,0.0599430724978446,0.0604854859411716,0.0599327832460403,0.0489490926265716,0.3905844986438751,0.054850798100233,0.0647772252559661,0.0710413753986358,0.0670027807354927,0.0707101300358772,0.0837487056851387,0.0665518641471862
Corporate Bond Returns,0.0539203646290465,0.03016452967874,0.0331668201781243,0.0400669190090984,0.0331755807761556,0.0495611780898752,0.0479536233009556,0.0457690683502323,0.0489770020115954,0.0416482551254116,0.0340276843136804,0.0434159225507055
Corporate Portfolio Returns,0.0179519169032573,0.0176089666783809,0.0176379159092903,0.0177727937698364,0.0181444007903337,0.0182676203548908,0.0180491544306278,0.0176957268267869,0.0178998913615942,0.0180149003863334,0.017442662268877,0.0182766206562519
FF25 Size-BM Returns,0.0122388871386647,0.0104586957022547,0.0104742990806698,0.0104417372494935,0.0107699045911431,0.0104805482551455,0.0105254864320158,0.0104893837124109,0.0104690222069621,,0.0104854572564363,0.010495625436306
FX Returns,1.7871423959732056,1.998030185699463,1.786949634552002,1.960984706878662,1.7153363227844238,1.9225815534591677,2.0809648036956787,1.8948628902435305,1.9230902194976809,1.8559218645095823,1.8478368520736692,2.051463842391968
HKM All Factor Returns,71.2823486328125,78.12140655517578,71.27937316894531,70.31804656982422,72.31497955322266,74.13053131103516,50.72936630249024,67.94831848144531,69.80394744873047,67.54080963134766,68.0498275756836,56.20394515991211
HKM Daily Factor Returns,18.61346244812012,26.968299865722656,18.610525131225582,18.513341903686523,20.0494384765625,18.359594345092773,18.733884811401367,19.07113075256348,18.75920295715332,22.43625831604004,18.922962188720703,18.61697769165039
HKM Monthly Factor Returns,310.30255126953125,304.07135009765625,309.94647216796875,315.785888671875,125.81763458251952,344.0148010253906,627.0752563476562,70.94869995117188,193.76266479492188,422.5245666503906,61.73876190185547,228.66909790039065
HKM Option Returns,0.0183618851006031,0.0203443430364131,0.0183519180864095,0.0186241492629051,0.0194796845316886,0.0183082167059183,0.0183496493846178,0.0187811162322759,0.0184440053999423,0.0183961633592844,0.0189153254032135,0.0187030099332332
TIPS-Treasury Basis,10.968050003051758,11.253664016723633,10.946030616760254,13.17318058013916,60.59576416015625,12.461589813232422,9.19761848449707,16.01943016052246,33.38756561279297,14.771244049072266,12.990352630615234,17.247032165527344
Treasury Bond Returns,0.0113259265199303,0.0100464820861816,0.0103776520118117,0.0117936702445149,0.0107793202623724,0.0084815574809908,0.0081162462010979,0.011992079205811,0.0137168522924184,0.0081583801656961,0.0041307834908366,0.0109673654660582
Treasury Portfolio Returns,0.0047145662829279,0.0046459049917757,0.0046210391446948,0.004794695880264,0.004957053810358,0.0045763980597257,0.0045252167619764,0.0046123312786221,0.0046536289155483,0.0048223929479718,0.0046182190999388,0.0047162841074168
Treasury Yield Curve,0.9643836617469788,1.222283124923706,0.9645401239395142,1.811900019645691,0.9811516404151917,1.737154245376587,1.9569495916366575,0.994282066822052,0.9702550172805786,,,1.9339689016342163
